virt_pos_x,virt_pos_y,virt_pos_z,phys_pos_x,phys_pos_y,phys_pos_z,virt_heading_x,virt_heading_y,virt_heading_z,phys_heading_x,phys_heading_y,phys_heading_z,cyclopean_gaze_pos_x,cyclopean_gaze_pos_y,cyclopean_gaze_pos_z,cyclopean_gaze_dir_x,cyclopean_gaze_dir_y,cyclopean_gaze_dir_z,left_gaze_dir_x,left_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_x,right_gaze_dir_y,right_gaze_dir_z,cyclopean_gaze_angular_velocity,weighted_gaze_angular_velocity,left_eye_closed,right_eye_closed,gaze_state,timestamp,frame_number,unity_delta_time
-0.0086139330,1.1113020000,0.1029795000,-0.0086139330,1.1113020000,0.1029795000,0.0046102250,-0.2576384000,0.9662304000,0.0046102250,-0.2576384000,0.9662304000,-1.3976080000,2.2708500000,4.7623400000,-0.2778982000,0.2319865000,0.9321775000,-0.2530430000,0.2326199000,0.9390725000,-0.3025684000,0.2311988000,0.9246618000,3.3300630000,2.217399,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.67,228,0.0150614
-0.0086139330,1.1113020000,0.1029795000,-0.0086139330,1.1113020000,0.1029795000,0.0046102250,-0.2576384000,0.9662304000,0.0046102250,-0.2576384000,0.9662304000,-1.4025730000,2.2694620000,4.7611890000,-0.2788845000,0.2317089000,0.9319519000,-0.2540451000,0.2323449000,0.9388700000,-0.3035384000,0.2309188000,0.9244139000,3.9403390000,2.177797,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.68,229,0.0141671
-0.0086643880,1.1113050000,0.1029809000,-0.0086643880,1.1113050000,0.1029809000,0.0041666240,-0.2573018000,0.9663221000,0.0041666240,-0.2573018000,0.9663221000,-1.4025730000,2.2694620000,4.7611890000,-0.2788845000,0.2317089000,0.9319519000,-0.2540451000,0.2323449000,0.9388700000,-0.3035384000,0.2309188000,0.9244139000,0.0000000000,2.177797,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.70,230,0.0132472
-0.0086454790,1.1112970000,0.1029817000,-0.0086454790,1.1112970000,0.1029817000,0.0041435230,-0.2570782000,0.9663817000,0.0041435230,-0.2570782000,0.9663817000,-1.3981320000,2.2748460000,4.7611900000,-0.2779860000,0.2327857000,0.9319521000,-0.2531323000,0.2334132000,0.9388516000,-0.3026548000,0.2320032000,0.9244320000,5.9732900000,2.775126,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.71,231,0.015079
-0.0086454790,1.1112970000,0.1029817000,-0.0086454790,1.1112970000,0.1029817000,0.0041435230,-0.2570782000,0.9663817000,0.0041435230,-0.2570782000,0.9663817000,-1.3989270000,2.2755450000,4.7607710000,-0.2781489000,0.2329271000,0.9318681000,-0.2532964000,0.2335562000,0.9387718000,-0.3028163000,0.2321430000,0.9243441000,0.0000000000,2.320739,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.73,232,0.0131217
-0.0086249040,1.1113010000,0.1029625000,-0.0086249040,1.1113010000,0.1029625000,0.0041853930,-0.2567713000,0.9664631000,0.0041853930,-0.2567713000,0.9664631000,-1.3989270000,2.2755450000,4.7607710000,-0.2781489000,0.2329271000,0.9318681000,-0.2532964000,0.2335562000,0.9387718000,-0.3028163000,0.2321430000,0.9243441000,0.0000000000,2.320739,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.74,233,0.0135324
-0.0086320220,1.1113100000,0.1029298000,-0.0086320220,1.1113100000,0.1029298000,0.0042316560,-0.2572263000,0.9663419000,0.0042316560,-0.2572263000,0.9663419000,-1.3919310000,2.2843780000,4.7606120000,-0.2767534000,0.2346935000,0.9318404000,-0.2518795000,0.2353299000,0.9387100000,-0.3014429000,0.2339008000,0.9243498000,9.3604100000,2.516124,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.75,234,0.0136641
-0.0086320220,1.1113100000,0.1029298000,-0.0086320220,1.1113100000,0.1029298000,0.0042316560,-0.2572263000,0.9663419000,0.0042316560,-0.2572263000,0.9663419000,-1.3918940000,2.2849850000,4.7604430000,-0.2767445000,0.2348132000,0.9318129000,-0.2518705000,0.2354497000,0.9386824000,-0.3014341000,0.2340202000,0.9243225000,0.0000000000,2.516124,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.77,235,0.0137517
-0.0086816240,1.1113840000,0.1029291000,-0.0086816240,1.1113840000,0.1029291000,0.0044624690,-0.2577196000,0.9662095000,0.0044624690,-0.2577196000,0.9662095000,-1.3918940000,2.2849850000,4.7604430000,-0.2767445000,0.2348132000,0.9318129000,-0.2518705000,0.2354497000,0.9386824000,-0.3014341000,0.2340202000,0.9243225000,0.0000000000,2.516124,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.78,236,0.0131518
-0.0087389280,1.1115090000,0.1029777000,-0.0087389280,1.1115090000,0.1029777000,0.0041233310,-0.2577403000,0.9662054000,0.0041233310,-0.2577403000,0.9662054000,-1.3904140000,2.2817210000,4.7617350000,-0.2764386000,0.2341454000,0.9320717000,-0.2515626000,0.2347721000,0.9389347000,-0.3011304000,0.2333627000,0.9245877000,3.0083090000,2.561241,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.80,237,0.016426
-0.0087389280,1.1115090000,0.1029777000,-0.0087389280,1.1115090000,0.1029777000,0.0041233310,-0.2577403000,0.9662054000,0.0041233310,-0.2577403000,0.9662054000,-1.3921570000,2.2813500000,4.7614080000,-0.2767759000,0.2340461000,0.9319965000,-0.2519050000,0.2346741000,0.9388674000,-0.3014624000,0.2332621000,0.9245048000,1.2043310000,2.348668,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.81,238,0.0122185
-0.0087993480,1.1116420000,0.1029604000,-0.0087993480,1.1116420000,0.1029604000,0.0036939370,-0.2571502000,0.9663644000,0.0036939370,-0.2571502000,0.9663644000,-1.3921570000,2.2813500000,4.7614080000,-0.2767759000,0.2340461000,0.9319965000,-0.2519050000,0.2346741000,0.9388674000,-0.3014624000,0.2332621000,0.9245048000,0.0000000000,1.954634,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.82,239,0.0130701
-0.0088058230,1.1116820000,0.1029381000,-0.0088058230,1.1116820000,0.1029381000,0.0036500220,-0.2567152000,0.9664802000,0.0036500220,-0.2567152000,0.9664802000,-1.3955200000,2.2816200000,4.7603750000,-0.2774366000,0.2340735000,0.9317932000,-0.2525701000,0.2347128000,0.9386790000,-0.3021182000,0.2332782000,0.9242867000,3.0271140000,2.257345,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.84,240,0.0146473
-0.0088226090,1.1116970000,0.1029089000,-0.0088226090,1.1116970000,0.1029089000,0.0035511910,-0.2567447000,0.9664727000,0.0035511910,-0.2567447000,0.9664727000,-1.4054370000,2.2867990000,4.7560970000,-0.2794191000,0.2351017000,0.9309416000,-0.2545799000,0.2357690000,0.9378710000,-0.3040724000,0.2342779000,0.9233926000,9.2591080000,2.585927,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.85,241,0.0140774
-0.0088226090,1.1116970000,0.1029089000,-0.0088226090,1.1116970000,0.1029089000,0.0035511910,-0.2567447000,0.9664727000,0.0035511910,-0.2567447000,0.9664727000,-1.4066830000,2.2883120000,4.7553210000,-0.2796652000,0.2354012000,0.9307919000,-0.2548274000,0.2360822000,0.9377250000,-0.3043169000,0.2345637000,0.9232395000,1.4052550000,2.726452,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.86,242,0.0133727
-0.0088815430,1.1116520000,0.1028760000,-0.0088815430,1.1116520000,0.1028760000,0.0035231810,-0.2566362000,0.9665017000,0.0035231810,-0.2566362000,0.9665017000,-1.4066830000,2.2883120000,4.7553210000,-0.2796652000,0.2354012000,0.9307919000,-0.2548274000,0.2360822000,0.9377250000,-0.3043169000,0.2345637000,0.9232395000,0.0000000000,2.726452,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.88,243,0.0136022
-0.0088878460,1.1116210000,0.1028689000,-0.0088878460,1.1116210000,0.1028689000,0.0035014140,-0.2564748000,0.9665446000,0.0035014140,-0.2564748000,0.9665446000,-1.4012900000,2.2902810000,4.7564110000,-0.2785744000,0.2358043000,0.9310170000,-0.2537199000,0.2364774000,0.9379257000,-0.3032434000,0.2349741000,0.9234883000,4.8235290000,2.272764,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.89,244,0.0140812
-0.0088878460,1.1116210000,0.1028689000,-0.0088878460,1.1116210000,0.1028689000,0.0035014140,-0.2564748000,0.9665446000,0.0035014140,-0.2564748000,0.9665446000,-1.4009300000,2.2909930000,4.7563260000,-0.2785011000,0.2359528000,0.9310013000,-0.2536463000,0.2366215000,0.9379093000,-0.3031705000,0.2351271000,0.9234733000,0.0000000000,2.272764,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.91,245,0.0139492
-0.0088618110,1.1116010000,0.1028335000,-0.0088618110,1.1116010000,0.1028335000,0.0040430250,-0.2559233000,0.9666886000,0.0040430250,-0.2559233000,0.9666886000,-1.4009300000,2.2909930000,4.7563260000,-0.2785011000,0.2359528000,0.9310013000,-0.2536463000,0.2366215000,0.9379093000,-0.3031705000,0.2351271000,0.9234733000,0.0000000000,2.272764,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.92,246,0.0138064
-0.0088797140,1.1116200000,0.1028367000,-0.0088797140,1.1116200000,0.1028367000,0.0042481480,-0.2560061000,0.9666658000,0.0042481480,-0.2560061000,0.9666658000,-1.4003730000,2.2936200000,4.7557760000,-0.2783949000,0.2364827000,0.9308987000,-0.2535392000,0.2371575000,0.9378029000,-0.3030653000,0.2356503000,0.9233745000,1.4328380000,2.115218,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.93,247,0.0146599
-0.0088797140,1.1116200000,0.1028367000,-0.0088797140,1.1116200000,0.1028367000,0.0042481480,-0.2560061000,0.9666658000,0.0042481480,-0.2560061000,0.9666658000,-1.3910350000,2.2773410000,4.7626730000,-0.2765233000,0.2332220000,0.9322781000,-0.2516396000,0.2338669000,0.9391399000,-0.3012227000,0.2324215000,0.9247947000,15.6788400000,3.562668,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.95,248,0.0135161
-0.0089509190,1.1116690000,0.1028254000,-0.0089509190,1.1116690000,0.1028254000,0.0044038150,-0.2562764000,0.9665935000,0.0044038150,-0.2562764000,0.9665935000,-1.3910350000,2.2773410000,4.7626730000,-0.2765233000,0.2332220000,0.9322781000,-0.2516396000,0.2338669000,0.9391399000,-0.3012227000,0.2324215000,0.9247947000,0.0000000000,3.562668,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.96,249,0.0139221
-0.0089401450,1.1116700000,0.1028259000,-0.0089401450,1.1116700000,0.1028259000,0.0044946260,-0.2561820000,0.9666181000,0.0044946260,-0.2561820000,0.9666181000,-1.3907270000,2.2685890000,4.7649680000,-0.2764474000,0.2314611000,0.9327393000,-0.2515633000,0.2320970000,0.9395993000,-0.3011472000,0.2306708000,0.9252574000,7.3833740000,3.998294,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.98,250,0.0145234
-0.0089083660,1.1116910000,0.1028596000,-0.0089083660,1.1116910000,0.1028596000,0.0045578560,-0.2557272000,0.9667382000,0.0045578560,-0.2557272000,0.9667382000,-1.3910580000,2.2679030000,4.7650370000,-0.2765158000,0.2313237000,0.9327531000,-0.2516320000,0.2319639000,0.9396138000,-0.3012152000,0.2305294000,0.9252706000,0.0000000000,3.072383,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:39.99,251,0.0134079
-0.0089083660,1.1116910000,0.1028596000,-0.0089083660,1.1116910000,0.1028596000,0.0045578560,-0.2557272000,0.9667382000,0.0045578560,-0.2557272000,0.9667382000,-1.3911410000,2.2679240000,4.7650370000,-0.2765388000,0.2313236000,0.9327463000,-0.2516548000,0.2319725000,0.9396056000,-0.3012384000,0.2305205000,0.9252653000,0.0000000000,2.931858,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:40.00,252,0.0160025
-0.0089101200,1.1117230000,0.1028340000,-0.0089101200,1.1117230000,0.1028340000,0.0045339990,-0.2553842000,0.9668290000,0.0045339990,-0.2553842000,0.9668290000,-1.3911410000,2.2679240000,4.7650370000,-0.2765388000,0.2313236000,0.9327463000,-0.2516548000,0.2319725000,0.9396056000,-0.3012384000,0.2305205000,0.9252653000,0.0000000000,2.931858,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:40.02,253,0.0117932
-0.0089378840,1.1117140000,0.1028115000,-0.0089378840,1.1117140000,0.1028115000,0.0042725730,-0.2553292000,0.9668447000,0.0042725730,-0.2553292000,0.9668447000,-1.3938420000,2.2697370000,4.7637680000,-0.2770786000,0.2316801000,0.9324976000,-0.2522017000,0.2323406000,0.9393679000,-0.3017710000,0.2308651000,0.9250057000,2.9054050000,2.740045,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:40.03,254,0.0138348
-0.0089378840,1.1117140000,0.1028115000,-0.0089378840,1.1117140000,0.1028115000,0.0042725730,-0.2553292000,0.9668447000,0.0042725730,-0.2553292000,0.9668447000,-1.3948630000,2.2731300000,4.7626040000,-0.2772774000,0.2323605000,0.9322692000,-0.2524039000,0.2330281000,0.9391433000,-0.3019661000,0.2315380000,0.9247738000,2.8597940000,3.026025,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:40.04,255,0.0140203
-0.0090085910,1.1117070000,0.1027854000,-0.0090085910,1.1117070000,0.1027854000,0.0036740310,-0.2549930000,0.9669359000,0.0036740310,-0.2549930000,0.9669359000,-1.3948630000,2.2731300000,4.7626040000,-0.2772774000,0.2323605000,0.9322692000,-0.2524039000,0.2330281000,0.9391433000,-0.3019661000,0.2315380000,0.9247738000,0.0000000000,3.026025,0.0000000000,0.0000000000,STILL,2025_35_23|03:35:40.06,256,0.0135408
